date,client_lat,client_lon,client_city,client_country,client_asn,client_isp,server_lat,server_lon,server_site,server_city,download_mbps,min_rtt_ms,packet_loss_rate
2025-10-13,42.9827,-70.9472,Exeter,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul03,Montreal,163.51874037227455,20.398,0.00399999151469616
2025-10-13,43.2188,-71.5294,Concord,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul08,Montreal,102.63183267135464,19.835,0.06609853396049574
2025-10-13,43.1604,-71.4179,Suncook,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul06,Montreal,203.83218255017496,18.924,2.600333204206597e-05
2025-10-13,43.6576,-71.5003,Meredith,US,11776,"Atlantic Broadband Finance, LLC",45.4657,-73.7455,yul06,Montreal,106.46043498102753,15.979,0.02875078193663609
2025-10-13,42.8864,-78.8784,Buffalo,US,36352,ColoCrossing,22.3089,113.915,hkg03,Hong Kong,8.316854080421653,196.365,0.17091112218772378
2025-10-13,43.1311,-77.6053,Rochester,US,11351,Time Warner Cable Internet LLC,45.4494,9.2783,mil06,Milan,166.160422721321,111.436,0.012237611662264782
2025-10-13,44.449,-75.6941,Hammond,US,11722,"Westelcom Internet, Inc.",45.4657,-73.7455,yul06,Montreal,91.88418489265209,11.0,0.0387885203123921
2025-10-13,44.8206,-73.5071,West Chazy,US,11722,"Westelcom Internet, Inc.",45.4657,-73.7455,yul03,Montreal,324.7045012211189,16.339,0.0023352284814456945
2025-10-13,42.4444,-76.4926,Ithaca,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul03,Montreal,66.48690962212817,25.852,0.012887847114669308
2025-10-13,35.5838,-80.864,Mooresville,US,11426,Time Warner Cable Internet LLC,53.4213,-6.27007,dub01,Dublin,215.43367024914704,94.918,0.0007426090230567734
2025-10-13,35.961,-78.9291,Durham,US,11426,Time Warner Cable Internet LLC,50.0333,8.57056,fra04,Frankfurt,200.53947987092272,104.633,0.0
2025-10-13,41.452,-81.6146,Cleveland,US,21928,"T-Mobile USA, Inc.",43.6797,-79.6227,yyz08,Toronto,357.8857133780542,37.87,0.0005193588307719612
2025-10-13,35.6211,-97.4757,Edmond,US,22773,Cox Communications Inc.,45.4494,9.2783,mil06,Milan,126.73697637431509,128.932,0.03371468061509543
2025-10-13,40.442,-79.9519,Pittsburgh,US,7922,"Comcast Cable Communications, LLC",45.4494,9.2783,mil07,Milan,17.75830584171491,110.535,0.0
2025-10-13,40.2995,-76.5868,Palmyra,US,7922,"Comcast Cable Communications, LLC",45.4494,9.2783,mil05,Milan,208.63462979357666,105.385,0.0005981273356880993
2025-10-13,41.7689,-71.4758,Cranston,US,701,"MCI Communications Services, Inc. d/b/a Verizon Business",58.8767,5.63778,svg01,Stavanger,20.5573090486318,95.713,0.0
2025-10-13,34.7518,-82.2556,Simpsonville,US,20115,Charter Communications,51.4775,-0.461389,lhr04,London,188.34688471864558,105.155,0.0
2025-10-13,33.882,-80.404,Sumter,US,20257,"Farmers Telephone Cooperative, Inc.",35.5533,139.781,hnd02,Tokyo,12.360320714227145,153.843,0.0
2025-10-13,34.8308,-82.3507,Greenville,US,20115,Charter Communications,50.1008,14.26,prg03,Prague,115.84481750856567,121.623,0.033406396576883504
2025-10-13,29.5863,-98.4769,San Antonio,US,7018,"AT&T Services, Inc.",25.7785,-100.107,mty01,Monterrey,89.27100768722877,25.114,0.0
2025-10-13,27.6776,-97.3651,Corpus Christi,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,114.39538037350721,38.921,0.0014992768043222986
